Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
Fish Tank,2009,91,96703,"Cannes Jury Prize-winner Fish Tank is gritty British realism at its very best, with flawless performances from newcomer Kate Jarvis, and Michael Fassbender.","Mia (Katie Jarvis) is a rebellious teenager on the verge of being kicked out of school. Her hard-partying mother, Joanne...",Andrea Arnold,"Michael Fassbender, Katie Jarvis, Kierston Wareing, Harry Treadaway"
Forbidden Planet,1956,94,101701,"Shakespeare gets the deluxe space treatment in Forbidden Planet, an adaptation of The Tempest with impressive sets and seamless special effects.","In this sci-fi classic, a spacecraft travels to the distant planet Altair IV to discover the fate of a group...",Fred M. Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens"
Four Weddings and a Funeral,1994,92,102042,Hugh Grant ably snatches up the bouquet of leading man status with,Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a...,Mike Newell,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas, Simon Callow"
Frankenstein,1931,94,108000,"Still unnerving to this day,",This iconic horror film follows the obsessed scientist Dr. Henry Frankenstein as he attempts to create life by assembling a...,James Whale,"Colin Clive, Mae Clarke, John Boles, Boris Karloff"
The French Connection,1971,96,107262,"Realistic, fast-paced and uncommonly smart, The","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco"
Frida,2002,76,81205,,"This is the true story of Frida Kahlo (Salma Hayek) and her husband Diego Rivera (Alfred Molina), the larger-than-life painters...",Julie Taymor,"Salma Hayek, Alfred Molina, Geoffrey Rush, Mía Maestro"
Gallipoli,1981,91,94998,Peter Weir's devastating anti-war film features a low-key but emotionally wrenching performance from Mel Gibson as a young soldier fighting in one of World War I's most deadly and horrifying battles.,Archy (Mark Lee) and Frank (Mel Gibson) are two young Australian sprinters who want to join the army to fulfill...,Peter Weir,"Mark Lee, Mel Gibson, Bill Kerr, Ron Graham"
Gandhi,1982,89,100542,"Director Richard Attenborough is typically sympathetic and sure-handed, but it's Ben Kingsley's magnetic performance that acts as the linchpin for this sprawling, lengthy biopic.","This acclaimed biographical drama presents major events in the life of Mohandas Gandhi (Ben Kingsley), the beloved Indian leader who...",Richard Attenborough,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud"
Gattaca,1997,82,86162,"Intelligent and scientifically provocative, Gattaca is an absorbing sci fi drama that poses important interesting ethical questions about the nature of science.","Vincent Freeman (Ethan Hawke) has always fantasized about traveling into outer space, but is grounded by his status as a...",Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
The General,1926,92,104176,"Brilliantly filmed and fueled with classic physical comedy,","One of the most revered comedies of the silent era, this film finds hapless Southern railroad engineer Johnny Gray (Buster...",Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley"
Get Out,2017,98,120502,"Funny, scary, and thought-provoking,","Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend...",Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford"
Ghost in the Shell,1995,95,99100,"A stunning feat of modern animation,","In this Japanese animation, cyborg federal agent Maj. Motoko Kusanagi (Mimi Woods) trails ""The Puppet Master"" (Abe Lasser), who illegally...",Mamoru Oshii,"Richard Epcar, Mimi Woods, William Frederick Knight, Tom Wyner"
Ghostbusters,1984,95,102162,"An infectiously fun blend of special effects and comedy, with Bill Murray's hilarious deadpan performance leading a cast of great comic turns.","After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a...",Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver"
Girls Trip,2017,91,100205,,"Best friends Ryan, Sasha, Lisa and Dina are in for the adventure of a lifetime when they travel to New...",Malcolm D. Lee,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish"
The Godfather,1972,97,119418,"One of Hollywood's greatest critical and commercial successes,","Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of...",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano"
"The Godfather, Part II",1974,96,111032,"Drawing on strong performances by Al Pacino and Robert De Niro, Francis Ford Coppola's continuation of Mario Puzo's Mafia saga set new standards for sequels that have yet to be matched or broken.","The compelling sequel to ""The Godfather,"" contrasting the life of Corleone father and son. Traces the problems of Michael Corleone...",Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro"
Godzilla,1954,93,102216,"More than straight monster-movie fare,",A fire-breathing behemoth terrorizes Japan after an atomic bomb awakens it from its centuries-old sleep....,Ishirô Honda,"Takashi Shimura, Momoko Kochi, Akira Takarada, Akihiko Hirata"
007: Goldfinger,1964,99,106904,,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
"The Good, the Bad and the Ugly",1967,97,106048,"Arguably the greatest of the spaghetti westerns, this epic features a compelling story, memorable performances, breathtaking landscapes, and a haunting score.","In the Southwest during the Civil War, a mysterious stranger, Joe (Clint Eastwood), and a Mexican outlaw, Tuco (Eli Wallach),...",Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffré"
Goodfellas,1990,95,109405,"Hard-hitting and stylish,",A young man grows up in the mob and works very hard to advance himself through the ranks. He enjoys...,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
The Grand Budapest Hotel,2014,92,107314,"Typically stylish but deceptively thoughtful,","In the 1930s, the Grand Budapest Hotel is a popular European ski resort, presided over by concierge Gustave H. (Ralph...",Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody"
Grand Illusion,1937,97,110868,Jean Renoir's,"A group of French soldiers, including the patrician Captain de Boeldieu (Pierre Fresnay) and the working-class Lieutenant Maréchal (Jean Gabin),...",Jean Renoir,"Pierre Fresnay, Erich von Stroheim, Jean Gabin, Marcel Dalio"
The Grapes of Wrath,1940,100,106444,"A potent drama that is as socially important today as when it was made, The Grapes of Wrath is affecting, moving, and deservedly considered an American classic.","The Joad clan, introduced to the world in John Steinbeck's iconic novel, is looking for a better life in California....",John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin"
Grease,1978,66,83838,"Word is,","Experience the friendships, romances and adventures of a group of high school kids in the 1950s. Welcome to the singing...",Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
The Great Escape,1963,94,100503,"With its impeccably slow-building story and a cast for the ages,","Imprisoned during World War II in a German POW camp, a group of Allied soldiers are intent on breaking out,...",John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson"
Groundhog Day,1993,94,108431,"Smart, sweet, and inventive,","Phil (Bill Murray), a weatherman, is out to cover the annual emergence of the groundhog from its hole. He gets...",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
Guardians of the Galaxy,2014,92,108392,,Brash space adventurer Peter Quill (Chris Pratt) finds himself the quarry of relentless bounty hunters after he steals an orb...,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
Hairspray,1988,98,101620,,"When Tracy Turnblad (Ricki Lake), an overweight teen, auditions for a spot on a popular teen dance show, she beats...",John Waters,"Ricki Lake, Divine, Jerry Stiller, Sonny Bono"
Halloween,1978,96,105079,"Scary, suspenseful, and viscerally thrilling,","On a cold Halloween night in 1963, six year old Michael Myers brutally murdered his 17-year-old sister, Judith. He was...",John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles"
A Hard Day's Night,1964,98,110480,"A Hard Day's Night, despite its age, is still a delight to watch and has proven itself to be a rock-and-roll movie classic.","The Beatles in their feature film debut, one of the greatest rock-and-roll comedy adventures ever. The film has a fully...",Richard Lester,"The Beatles, Wilfrid Brambell, Norman Rossington, John Junkin"
Harold and Maude,1971,86,91522,"Hal Ashby's comedy is too dark and twisted for some, and occasionally oversteps its bounds, but there's no denying the film's warm humor and big heart.",Cult classic pairs Cort as a dead-pan disillusioned 20-year-old obsessed with suicide and a loveable Gordon as a fun-loving 80-year-old...,Hal Ashby,"Bud Cort, Ruth Gordon, Cyril Cusack, Vivian Pickles"
Harry Potter and the Prisoner of Azkaban,2004,90,98650,"Under the assured direction of Alfonso Cuaron,",Harry Potter's (Daniel Radcliffe) third year at Hogwarts starts off badly when he learns deranged killer Sirius Black (Gary Oldman)...,Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman"
The Hate U Give,2018,97,109270,"Led by a breakout turn from Amandla Stenberg, the hard-hitting","Starr Carter is constantly switching between two worlds -- the poor, mostly black neighborhood where she lives and the wealthy,...",George Tillman Jr.,"Amandla Stenberg, Regina Hall, Russell Hornsby, K.J. Apa"
Heat,1995,83,94626,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together,","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while...",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
Heathers,1989,95,99880,"Dark, cynical, and subversive, Heathers gently applies a chainsaw to the conventions of the high school movie -- changing the game for teen comedies to follow.","Veronica (Winona Ryder) is part of the most popular clique at her high school, but she disapproves of the other...",Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk"
Hedwig and the Angry Inch,2001,92,95803,"Hedwig and the Angry Inch may very well be the next Rocky Horror midnight movie. It not only knows how to rock, but Hedwig's story has an emotional poignancy.",A German emigrant living in a trailer in Kansas is the victim of a botched sex-change operation. Adapted from the...,John Cameron Mitchell,"John Cameron Mitchell, Michael Pitt, Miriam Shor, Stephen Trask"
Hero,2002,94,101094,"With death-defying action sequences and epic historic sweep,","In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for...",Yimou Zhang,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen"
High Noon,1952,94,109788,"A classic of the Western genre that broke with many of the traditions at the time,","Former marshal Will Kane (Gary Cooper) is preparing to leave the small town of Hadleyville, New Mexico, with his new...",Fred Zinnemann,"Gary Cooper, Grace Kelly, Katy Jurado, Thomas Mitchell"
His Girl Friday,1940,99,113484,"Anchored by stellar performances from Cary Grant and Rosalind Russell, His Girl Friday is possibly the definitive screwball romantic comedy.","When hard-charging New York newspaper editor Walter Burns discovers that his ex-wife, investigative reporter Hildy Johnson, has gotten engaged to...",Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart"
The Hunt,2012,92,97778,"Anchored by Mads Mikkelsen's sympathetic performance,","A kindergarten teacher's (Mads Mikkelsen) world collapses around him after one of his students (Annika Wedderkopp), who has a crush...",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
Ikiru,1952,98,107374,"Ikiru is a well-acted and deeply moving humanist tale about a man facing his own mortality, one of legendary director Akira Kurosawa's most intimate films.",Mr. Watanabe suddenly finds that he has terminal cancer. He vows to make his final days meaningful. His attempts to...,Akira Kurosawa,"Takashi Shimura, Miki Odagiri, Kyôko Seki"
In the Heat of the Night,1967,96,106785,"Tense, funny, and thought-provoking all at once, and lifted by strong performances from Sydney Poitier and Rod Steiger, director Norman Jewison's look at murder and racism in small-town America continues to resonate today.","African-American Philadelphia police detective Virgil Tibbs (Sidney Poitier) is arrested on suspicion of murder by Bill Gillespie (Rod Steiger), the...",Norman Jewison,"Sidney Poitier, Rod Steiger, Warren Oates, Quentin Dean"
In the Mood for Love,2000,92,99428,"An exquisitely shot showcase for Maggie Cheung and Tony Leung that marks a somber evolution of Wong Kar-wai's chic style,","In 1962, journalist Chow Mo-wan (Tony Leung Chiu Wai) and his wife move into a Hong Kong apartment, but Chow's...",Kar-Wai Wong,"Tony Leung Chiu Wai, Maggie Cheung, Kelly Lai Chen, Rebecca Pan"
Inception,2010,87,102658,"Smart, innovative, and thrilling,",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy"
